,Date / Time,City,State,Shape,Shape,views
97,10/10/97 20:00,Bonaire,GA,Triangle,Triangle,8330
98,10/10/97 17:00,Mesa,AZ,Sphere,Sphere,5884
99,10/9/97 11:40,Camarillo,CA,Circle,Circle,9315
100,10/7/97 03:26,"MM82/MM83 (between, on I-80)",PA,Circle,Circle,9315
101,10/5/97 20:30,Utica,NY,Light,Light,18879
102,10/5/97 19:00,Cheyenne,WY,Other,Other,5932
103,10/4/97 18:00,Warrenton,VA,Light,Light,18879
104,10/4/97 01:57,Scottsdale,AZ,Light,Light,18879
105,10/3/97 21:30,Waco,TX,Light,Light,18879
106,10/3/97 21:00,Jim Thorpe,PA,Oval,Oval,3862
107,10/2/97 14:00,Los Angeles (Malibu Beach),CA,Sphere,Sphere,5884
108,10/2/97 02:00,Ringgold,GA,Circle,Circle,9315
109,10/1/97 22:00,Summerville,SC,Triangle,Triangle,8330
110,10/1/97 21:55,Martinsville,VA,Other,Other,5932
111,10/1/97 21:30,Bourbonnais,IL,Triangle,Triangle,8330
112,10/1/97 21:30,Oakland,OR,Light,Light,18879
113,10/1/97 21:00,Hyannis,MA,Triangle,Triangle,8330
114,10/1/97 19:00,Green Bay,WI,Light,Light,18879
115,10/1/97 19:00,Pelzer,SC,Triangle,Triangle,8330
116,10/1/97 09:00,Charlotte,NC,Cigar,Cigar,1896
117,10/1/97 08:00,Oregon (rural),OR,Rectangle,Rectangle,1436
118,10/1/97 03:00,Jefferson,NY,Other,Other,5932
119,10/1/97 01:20,Garland,TX,Rectangle,Rectangle,1436
120,10/1/97 01:10,Fort Jennings,OH,Other,Other,5932
121,10/1/97 00:00,Bemidji,MN,Triangle,Triangle,8330
122,11/30/97 02:00,LeMars (IA)/Denver (CO) (uncertain; traveling from),NE,Light,Light,18879
123,11/29/97 20:00,Gorman (60 miles north of Los Angeles),CA,Light,Light,18879
124,11/29/97 18:15,Orcas Island,WA,Light,Light,18879
125,11/28/97 19:30,Lake Geneva,WI,Fireball,Fireball,7536
126,11/28/97 19:30,Lake Geneva,WI,Fireball,Fireball,7536
127,11/28/97 00:45,St. Paul,MN,Fireball,Fireball,7536
128,11/27/97 19:30,Northampton,MA,Other,Other,5932
129,11/25/97 00:30,El Dorado,AR,Other,Other,5932
130,11/24/97 22:55,Palm Harbor,FL,Triangle,Triangle,8330
131,11/24/97 02:00,Salisbury,MD,Oval,Oval,3862
132,11/24/97 02:00,Salisbury,MD,Oval,Oval,3862
133,11/23/97 21:32,Wichita Falls (Sheppard AFB),TX,Light,Light,18879
134,11/23/97 05:50,Albuquerque,NM,Fireball,Fireball,7536
135,11/22/97 20:45,Palo,MI,Triangle,Triangle,8330
136,11/22/97 17:30,Albuquerque,NM,Other,Other,5932
137,11/21/97 20:00,Fremont,MI,Circle,Circle,9315
138,11/21/97 17:00,North Kingstown,RI,Triangle,Triangle,8330
139,11/21/97 12:00,Plattsmouth,NE,Circle,Circle,9315
140,11/20/97 23:00,Cedar River,MI,Fireball,Fireball,7536
141,11/20/97 18:00,Rock Hill,NY,Triangle,Triangle,8330
142,11/20/97 05:29,Frostbite Falls,MO,Disk,Disk,4300
143,11/20/97 02:00,Chicago,IL,Other,Other,5932
144,11/20/97 01:00,Springfield (25 miles northeast of),MO,Oval,Oval,3862
145,11/18/97 19:30,Malta (60 miles south of),MT,Rectangle,Rectangle,1436
146,11/18/97 02:00,Scott AFB (outside of),IL,Light,Light,18879
147,11/17/97 05:30,Bracketville,TX,Cigar,Cigar,1896
148,11/17/97 03:00,Clearwater Beach,FL,Oval,Oval,3862
149,11/17/97 03:00,Wasilla,AK,Triangle,Triangle,8330
150,11/15/97 23:30,Pompano Beach,FL,Sphere,Sphere,5884
151,11/15/97 23:00,Chester,NJ,Circle,Circle,9315
152,11/15/97 23:00,Chester,NJ,Circle,Circle,9315
153,11/15/97 22:00,Eureka,CA,Triangle,Triangle,8330
154,11/15/97 21:30,Varysburg,NY,Triangle,Triangle,8330
155,11/15/97 21:00,Tamaqua,PA,Light,Light,18879
156,11/15/97 21:00,Tennessee (on highway),TN,Sphere,Sphere,5884
157,11/15/97 20:00,El Centro,CA,Oval,Oval,3862
158,11/15/97 18:45,West Palm Beach,FL,Other,Other,5932
159,11/15/97 18:30,Hubbard,OH,Triangle,Triangle,8330
160,11/15/97 04:00,Lockport,NY,Sphere,Sphere,5884
161,11/15/97 03:50,Reno,NV,Triangle,Triangle,8330
162,11/15/97 02:30,Longview,WA,Other,Other,5932
163,11/15/97 00:35,Tucson,AZ,Other,Other,5932
164,11/14/97 23:15,Redondo Beach,CA,Fireball,Fireball,7536
165,11/14/97 22:25,Bellingham,WA,Formation,Formation,2864
166,11/14/97 22:00,Stevens Pass,WA,Disk,Disk,4300
167,11/14/97 21:30,Olympia,WA,Fireball,Fireball,7536
168,11/14/97 21:30,Corbett,OR,Formation,Formation,2864
169,11/14/97 21:30,Olympia (East of),WA,Formation,Formation,2864
170,11/14/97 21:15,Snoqualmie,WA,Formation,Formation,2864
171,11/14/97 21:15,McMinnville,OR,Formation,Formation,2864
172,11/14/97 21:15,Freeland (Whidbey Island),WA,Formation,Formation,2864
173,11/14/97 21:15,Renton,WA,Formation,Formation,2864
174,11/14/97 21:12,Centralia,WA,Sphere,Sphere,5884
175,11/14/97 21:11,Burlington,WA,Formation,Formation,2864
176,11/14/97 21:11,Renton,WA,Formation,Formation,2864
177,11/14/97 21:10,Snohomish,WA,Formation,Formation,2864
178,11/14/97 21:10,Issaquah,WA,Other,Other,5932
179,11/14/97 21:10,Winthrop,WA,Fireball,Fireball,7536
180,11/14/97 21:10,Mukilteo,WA,Formation,Formation,2864
181,11/14/97 21:09,Tonasket (14 miles east of),WA,Formation,Formation,2864
182,11/14/97 21:05,Edmonds,WA,Formation,Formation,2864
183,11/14/97 21:00,Mt. Vernon,WA,Circle,Circle,9315
184,11/14/97 21:00,Noblesville,IN,Fireball,Fireball,7536
185,11/14/97 21:00,North Camano Island - Buena Vista area- above Utsalady Bay,WA,Formation,Formation,2864
186,11/14/97 21:00,Poulsbo,WA,Formation,Formation,2864
187,11/14/97 21:00,Kenmore,WA,Rectangle,Rectangle,1436
188,11/14/97 21:00,West Seattle,WA,Formation,Formation,2864
189,11/14/97 21:00,Gig Harbor,WA,Formation,Formation,2864
190,11/14/97 21:00,Seattle,WA,Diamond,Diamond,1313
191,11/14/97 21:00,Olympia,WA,Formation,Formation,2864
192,11/14/97 21:00,Seattle,WA,Formation,Formation,2864
193,11/14/97 20:00,Lynnwood,WA,Oval,Oval,3862
194,11/14/97 19:55,Oakland,CA,Disk,Disk,4300
195,11/14/97 19:30,Oroville,WA,Triangle,Triangle,8330
196,11/14/97 18:35,Dallas/Ft. Worth (Approaching),TX,Formation,Formation,2864
197,11/14/97 17:34,Palo,MI,Triangle,Triangle,8330
198,11/14/97 17:00,Portland,OR,Formation,Formation,2864
199,11/14/97 16:00,Birch Bay,WA,Other,Other,5932
200,11/13/97 21:15,Trenton (just outside),NJ,Light,Light,18879
201,11/13/97 01:45,Corvallis,OR,Light,Light,18879
202,11/12/97 17:30,Seattle,WA,Light,Light,18879
203,11/12/97 16:30,Divide,CO,Light,Light,18879
204,11/12/97 00:03,Sodus,NY,Cigar,Cigar,1896
205,11/11/97 21:00,Enumclaw (outside of),WA,Chevron,Chevron,1041
206,11/11/97 05:30,Columbus,OH,Cylinder,Cylinder,1370
207,11/11/97 01:00,O'Fallon,MO,Triangle,Triangle,8330
208,11/10/97 23:00,Santee,CA,Light,Light,18879
209,11/10/97 21:45,Hurricane,WV,Circle,Circle,9315
210,11/10/97 20:00,Orem,UT,Triangle,Triangle,8330
211,11/9/97 21:00,Perkinston,MS,Cigar,Cigar,1896
212,11/9/97 06:15,"Newport (coast range, east of)",OR,Formation,Formation,2864
213,11/8/97 19:30,Louisville,KY,Changing,Changing,2275
214,11/7/97 18:30,Austin,TX,Light,Light,18879
215,11/6/97 19:00,Kentwood,MI,Other,Other,5932
216,11/4/97 20:45,Seattle,WA,Light,Light,18879
217,11/2/97 00:00,Houston,TX,Light,Light,18879
218,11/1/97 22:00,New York City (Bronx),NY,Light,Light,18879
219,11/1/97 22:00,Los Angeles (just outside),CA,Light,Light,18879
220,11/1/97 21:35,Carson,CA,Formation,Formation,2864
221,11/1/97 18:50,Doniphan,MO,Fireball,Fireball,7536
222,11/1/97 18:30,Sartoga,CA,Other,Other,5932
223,11/1/97 06:00,Newton,GA,Light,Light,18879
224,11/1/97 03:00,Bridgewater,MA,Triangle,Triangle,8330
225,12/31/97 20:30,Warren,OH,Other,Other,5932
226,12/31/97 20:30,Manassas,VA,Formation,Formation,2864
227,12/31/97 19:30,Crystal Beach,TX,Circle,Circle,9315
228,12/31/97 17:45,Gulfport,MS,Triangle,Triangle,8330
229,12/31/97 17:45,Gulfport,MS,Triangle,Triangle,8330
230,12/30/97 19:30,Milton (north of),FL,Triangle,Triangle,8330
231,12/30/97 17:40,Victorville (east of),CA,Circle,Circle,9315
232,12/27/97 20:00,Spokane,WA,Light,Light,18879
233,12/26/97 22:30,Dale City (Interstate 95),VA,Triangle,Triangle,8330
234,12/26/97 20:00,Primrose,GA,Light,Light,18879
235,12/25/97 09:00,Los Angeles (Eagle Rock),CA,Disk,Disk,4300
236,12/25/97 02:00,Charlotte,NC,Light,Light,18879
237,12/23/97 20:00,East Woodstock,CT,Oval,Oval,3862
238,12/21/97 05:25,Harrisonburg,VA,Light,Light,18879
239,12/20/97 23:00,Las Vegas,NV,Disk,Disk,4300
240,12/20/97 22:00,Prescott (North of),AZ,Sphere,Sphere,5884
241,12/20/97 02:24,San Jose,CA,Triangle,Triangle,8330
242,12/18/97 22:50,Oxnard,CA,Cigar,Cigar,1896
243,12/17/97 11:45,Burlington,VT,Diamond,Diamond,1313
244,12/17/97 11:45,Colchester,VT,Light,Light,18879
245,12/17/97 00:15,Ocala,FL,Fireball,Fireball,7536
246,12/16/97 23:23,North San Diego,CA,Fireball,Fireball,7536
247,12/16/97 18:30,Baltimore,MD,Triangle,Triangle,8330
248,12/16/97 02:30,Tarzana (San Fernando Valley),CA,Triangle,Triangle,8330
249,12/15/97 23:35,Marlette,MI,Circle,Circle,9315
250,12/15/97 22:30,Gardiner,ME,Disk,Disk,4300
251,12/15/97 22:00,Iola,IL,Fireball,Fireball,7536
252,12/15/97 22:00,Scranton,PA,Circle,Circle,9315
253,12/15/97 20:00,Salida,CA,Light,Light,18879
254,12/15/97 03:30,Naperville,IL,Disk,Disk,4300
255,12/15/97 01:00,Thief River Falls,MN,Disk,Disk,4300
256,12/14/97 23:30,Prescott Valley,AZ,Other,Other,5932
257,12/14/97 06:45,Auburn,IN,Sphere,Sphere,5884
258,12/12/97 02:03,Lubbock,TX,Other,Other,5932
259,12/11/97 21:27,Kinaid,IL,Triangle,Triangle,8330
260,12/11/97 19:15,Seattle,WA,Light,Light,18879
261,12/10/97 21:30,Williamsburg,OH,Diamond,Diamond,1313
262,12/10/97 20:00,Fort Ann,NY,Other,Other,5932
263,12/10/97 01:30,Oakland,CA,Triangle,Triangle,8330
264,12/9/97 18:00,Reno,NV,Circle,Circle,9315
265,12/9/97 17:55,Reno,NV,Light,Light,18879
266,12/9/97 17:30,Reno,NV,Light,Light,18879
267,12/9/97 17:00,Reno,NV,Light,Light,18879
268,12/9/97 08:30,"Kent (Auburn, Over S. King Co. Valley)",WA,Circle,Circle,9315
269,12/8/97 19:40,East Wenatchee,WA,Light,Light,18879
270,12/8/97,Wenatchee,WA,Light,Light,18879
271,12/7/97 03:00,Ashland (right over Highway 63),MO,Triangle,Triangle,8330
272,12/5/97 18:00,Salton Sea (Over),CA,Disk,Disk,4300
273,12/5/97 03:00,Clearwater Beach,FL,Oval,Oval,3862
274,12/2/97 20:30,Birch Run,MI,Chevron,Chevron,1041
275,12/2/97 20:00,Birch Run,MI,Disk,Disk,4300
276,12/1/97 23:30,Paramus (souh of),NJ,Fireball,Fireball,7536
277,12/1/97 22:00,Greentown,IN,Cigar,Cigar,1896
278,12/1/97 21:45,San Jose,CA,Triangle,Triangle,8330
279,12/1/97 21:15,Santa Cruz,CA,Triangle,Triangle,8330
280,12/1/97 12:00,San Francisco (Observed from),CA,Other,Other,5932
281,12/1/97 03:30,Naperville,IL,Oval,Oval,3862
282,12/1/97 00:00,Warwick,RI,Circle,Circle,9315
283,1/31/98 20:00,Shirley,NY,Disk,Disk,4300
284,1/30/98 21:05,Monroe City (3 miles East of),MO,Fireball,Fireball,7536
285,1/30/98 20:00,Sedona (5 miles w. of),AZ,Light,Light,18879
286,1/30/98 18:50,Dallas,TX,Light,Light,18879
287,1/29/98 21:15,Scranton,KS,Fireball,Fireball,7536
288,1/29/98 14:00,Coventry,RI,Disk,Disk,4300
289,1/28/98 22:00,Alberton,MT,Oval,Oval,3862
290,1/27/98 21:50,Anaheim Hills,CA,Light,Light,18879
291,1/27/98 21:23,Miami,FL,Light,Light,18879
292,1/27/98 20:20,Woodinville (North East),WA,Sphere,Sphere,5884
293,1/27/98 19:30,Woodland (6 miles from town),WA,Triangle,Triangle,8330
294,1/27/98 17:00,"Las Cruces (on Interstate 10,west of)",NM,Disk,Disk,4300
295,1/26/98 21:00,Las Vegas,NV,Sphere,Sphere,5884
296,1/26/98 20:45,Bartelso (outside of),IL,Oval,Oval,3862
297,1/26/98 16:50,Coconut Creek,FL,Circle,Circle,9315
298,1/25/98 20:30,Ripley,MS,Light,Light,18879
299,1/24/98 21:28,Cape Coral,FL,Diamond,Diamond,1313
300,1/24/98 15:30,Tucson,AZ,Light,Light,18879
